Article Title,Article Description,Last Updated,Published,Suggested
User Defaults Editor,RocketSim’s real-time User Defaults Editor.,"August 6, 2021",Yes,No
General App Actions,Perform actions using the configured bundle identifier of the selected App Group.,"August 4, 2021",Yes,Yes
Network Speed Control & Simulator Airplane Mode,Validate your app’s functionality when there’s no or slow networking connection available.,,Yes,No
Location Simulation,Simulate a specific location or freeway route.,,Yes,No
Push Notifications,Test your Push Notifications directly in the Simulator.,,Yes,No
Deeplinks (Universal Links),Deeplink into a specific page using URLs.,,Yes,No
Build Insights,Xcode Build Count and Duration Tracking,,Yes,No
